dialogue,labels
"There's no night today, so does it still make sense to call dinner ""dinner""? I think I'm gonna call it ""lunch the second""! Yeah, that sounds good!",lazy
"Yo, [player]! You soaking in the blazing sunshine, [catchphrase]?'",lazy
"This year is almost over, and it's bumming me out just the tiniest bit, [catchphrase].",lazy
STOP! STOP PUSHING ME!,lazy
"Why are you pushing me around? If it's a joke, it's not very funny...",lazy
"You can't just go around pushing people around 'cause you feel like it. It's really rude, [catchphrase].",lazy
"Why'd you hit me?! I thought we were friends, [player]!",lazy
"What the heck, [player]? That hurt, you know! Do you get your kicks being mean to people?!",lazy
"OW! Someone hit me! Wait a second... What's in your hand? Did YOU hit me, [player]? Why you do something like that? That was so mean!",lazy
AAAAAAAAAAAAAUGH! What the heck is this?!,lazy
Nooooooooooooooooooooooo! I'm stuck!,lazy
Waaaaaahhhh! Somebody help me!,lazy
Grrrr! Everyone better stay outta my way!,lazy
I'm so mad I'm about to blow my stack! Everyone better watch out!,lazy
Don't come near me. My sadness is contagious...,lazy
Ugh... Feeling down is making me hungry...,lazy
"Just leave me alone. I'm in a bad mood, and I don't feel like talking.",lazy
"When you're feeling down, you can't help looking down, [catchphrase].",lazy
Man... I feel like my last bite of [food] was snatched away from me...,lazy
"I'm flattered you want to chat so much, [player]. But I've got some important things on my mind, so let's talk later, [catchphrase].",lazy
"So if I do that, I'll have to take care of that other thing. But that other thing is a problem too... Oh, you kind of caught me in the middle of working out a problem. Talk to me later, OK?",lazy
"Sorry, but I can't talk right now. I actually need to focus on something else.",lazy
"Heya, [player]! Heh... Made ya look, [catchphrase]!",uchi
"Oh, [player]! Good to see ya, [catchphrase]!",uchi
"Yo, [player]! You get around, eh? [Catchphrase]!",uchi
"[Player]! I'm seeing you a lot today, [catchphrase]!",uchi
"...[Player]! What's the hurry, [catchphrase]?",uchi
"Whoa, [player]! Simmer down! [Catchphrase]!",uchi
"Hey! These clothes were made by [Designer] from Treehut. It's an original design! I think it's named... ""[clothing]""! It's amazing this stuff made it to a different town! It's so cool, [catchphrase]!",uchi
"If you take care of your flowers just right, sometimes you can get rare-colored flowers to bloom. It has a lot to do with where you plant 'em. Like, you can crossbreed flowers that are next to each other. When it happens, you'll be like, ""Man, I'm glad I took care of those little flowers dudes!"" [Catchphrase]!",uchi
Oh! You're not gonna beleive this! I've got something cool to show ya! Ta-da! It's from the past!,uchi
"When there aren't any big festivals coming up, you get to focus on your hobbies! It's like, uh, what's it called? Keeping your work and your play separate from each other? Course, festivals count as play too, I guess! [Catchphrase]!",uchi
"When you're looking up at the sky... sometimes balloons just come flying outta nowhere, right? What I wanna know is...who the heck is sending 'em out? But I guess it's cool for a mystery to stay a mystery sometimes! [Catchphrase]!",uchi
"[Player]! It's gonna stay out light tonight! Weird and thrilling... That's the Summer Solstice for ya! I'm getting excited, [catchphrase]!",uchi
"So the Summer Solstice isn't necessarily the hottest day of the year, right? But if the length of the day and the heat aren't always connected... where does the heat come from? Aw, man! Thinking about this tricky stuff just makes my brain even more hot! [Catchphrase]!",uchi
"Hello, dear! Look! Look! The sun's really not going anywhere! [Catchphrase]!",uchi
"Sun's up pretty high now... Is it really gonna be light out all night tonight, [catchphrase]?",uchi
"[Player]! Evening! Er...is that the right thing to say? I mean, it's light out, but according to the clock, it's nighttime! Weird, right? [Catchphrase]!",uchi
"Hello, dear! Today's gonna be super long, so you better pace yourself, [catchphrase]!",uchi
"I didn't think I'd be so excited about having it light outside so late in the evening, [catchphrase]!",uchi
"Oh! Hey, [player]! Today's the Summer Solstice! This whole sun-staying-out-all-night thing... It just doesn't sit right with a night owl like me, [catchphrase].",uchi
Man... you again? Are you just super active 'cause of the Summer Solstice? [Catchphrase]!,uchi
"Once you realize it's gonna be bright all day, all of a sudden you just want it to be dark! Ahhh! I can't wait for nighttime tomorrow! [Catchphrase]!",uchi
"I want the new year to hurry up and get here, but I'm also gonna miss the old year... Aaaah! I can't wait anymore! Hurry up, new year! [Catchphrase]!",uchi
It's already [time]?! OK! Gotta get ready! Bring on the new year! [Catchphrase]!,uchi
"Let's make next year a great one too, [player]!",uchi
You can feel all of [Town] getting psyched to celebrate the new year... I love it! It's like an electric calm before the party! [Catchphrase]!,uchi
"Oh, right! Yeah, I wanted to run something by you. So, uh...think you could bring me a pear? Lately I'm on a crazy new pear kick! I need as many as I can get, so I'm asking everyone I know for help! Ya feel me? Get me a pear!",uchi
"The other day I read this book called [Species] Storm Caller. It was sooooo cool! I wonder if I have storm-calling superpowers? Course...we don't really need bad storms in this town, [catchphrase]!",uchi
"Hey, [player]! What do you think of my clothes?",uchi
Hee hee! Really? You're gonna make me blush! [Catchphrase]!,uchi
"Hey... So this is sudden, but can you take my [item] off my hands?",uchi
"Whoa, you have your [clothing] with you, don't you? Oh, man! I'm super jealous! I can't remember the last time I even saw one of those items! Hey! I'm just gonna toss out an idea here... Wanna make a trade? Your [clothing] for my [furniture]?",uchi
"Hey! You going over to see [Villager] anytime soon? If you are, there's something I want you to give back to 'em... OK?",uchi
"I got my hands on something that [Villager] asked me for a while ago... But hasn't come to get it! If you can, would you take it over?",uchi
"Oh! By the way, a package for [Villager] got delivered to my place by mistake. I don't know what [Villager] ordered... but I bet would like to have it! Do you think you can take it over to [Villager] for me?",uchi
"Oh! Hey... So I actually have to ask you something. Can you take a present to [Villager] for me? I got it for 'em as a congratulations for some... good news. But I'd be too embarrassed to deliver it myself! So, yeah! Will you deliver it for me?",uchi
"Oh, yeah! Any chance you're going to see [Villager] soon? If you are, can you take 'em something they left here a while back? How 'bout it?",uchi
Haha... I guess I really should be the one to take it back! [Catchphrase]!,uchi
"Huh? Really? Ah, well... I'll just look for someone else! [Catchphrase]!",uchi
"OK... Well then, I'll just find the guts to go myself! [Catchphrase]!",uchi
"Oh! If you can't do it, that's OK! I'll just have 'em come to get it! [Catchphrase]!",uchi
"Oh, OK... Well, fine then. I'll find the guts to do it myself!",uchi
Huh? Changed your mind?,uchi
Huh? Not happening? Dude! Quit playin' around! [Catchphrase]!,uchi
"[Villager 1] and [Villager 2] are really good friends, huh? Ever see the two of them talk? It seems like they can gab with each other for hours! They're together all the time! [Catchphrase]!",uchi
"Heh, the other day [Villager] taught me a good trick. If you ever run out of stuff to talk about, just talk about the weather! I didn't expect to hear that kind of thing, [catchphrase]!",uchi
"The other day [Villager] was like, 'You used to be into hockey, right?' Can you believe that? Hockey, man... How could anyone not know I'm famous for wrestling? [Catchphrase]?",uchi
"Hey! What's the deal?! Dude! What's with you?! Don't just push me like that and not say anything, [catchphrase]!",uchi
"Hey, [player]! What's your deal?! You push me and then don't say anything about it? If you got a problem with me, spit it out! Use your words, [catchphrase]!",uchi
Hey... [player]! What's with you? I know you're not looking for a fight! That's way uncool of you! Don't shove! Just talk to me normally!,uchi
Arghh! This is awful!,uchi
"Oh, Come on!! Why is there a hole right here!?",uchi
"Hey! Hold up, [player]! ...What the heck are you doing? If you're looking for a fight, you found one! [Catchphrase]!",uchi
Ooooooouch! ...That hurt! What do you think you're doing?!,uchi
"...OWW! [Player], what gives?! You're no amateur! Don't just swing wildly like that!",uchi
Duuude... Can't you see I'm not in the mood to talk? Seriously! Just leave me alone! [Catchphrase]!,uchi
"Man... I do NOT wanna talk right now. Just clear out, [catchphrase]!",uchi
"Man, if it's not one thing, it must be something else! I'm mad at myself for letting myself get mad, [catchphrase]!",uchi
What? Yeah. Sorry. Don't really wanna look at your face right now. [Catchphrase]!,uchi
"Uhhh... I was gonna say something, but I can't remember what it was... Sorry, [player], but could you just leave me alone for a bit? I need to think, [catchphrase].",uchi
"Umm... Umm... C'mon, c'mon! Gotta figure this out! Huh? (Player's name)? You'll listen to my problems? Yeah, that's nice, I guess. But I want to figure this out myself! Leave me be, (catchphrase)!",uchi
"Yo! [Player]! Am I having déjà vu, [catchphrase]? Didn't we just talk?",jock
"[Greeting]! Whatcha want, [catchphrase]?",jock
Hey! If it isn't [player]! How's my training buddy today? Check out this bod! [Catchphrase]!,jock
"Heya, [player]! You training today, [catchphrase]? Don't slack just 'cause it's sunny! Whatcha need?",jock
"Heya! What is it this time, [catchphrase]?",jock
"Oh! [Player]! Whatcha need now, [catchphrase]?",jock
"Oh?! Oh, you again. What now, [catchphrase]?!",jock
"[Player], I don't think you even have a question. I think you just like talking to me! Is it my animal magnetism? What can I do for you, [catchphrase]?",jock
"Rushing up to tale to me like that... Geez, you're impatient! What's so important, [catchphrase]?",jock
"[Player]! Big favor for you! The other day I set a world record for the 100-meter dash. But no one was there to see it! So if you could go ahead and spread the news, that would be great! Thanks, bud! [Catchphrase]!",jock
"Hey, [player]! Check me out! ...No, I'm not talking about my clothes! I wanted you to appreciate my rippling muscles! I think of clothes as the icing on the scrumptious cake that is my jaw-dropping physique! Haha!",jock
I love it when the weather is like this! You can do weight training or just stay inside and watch sports!,jock
"Man, I need a jogging buddy! I need someone who can take off for a run at the drop of a hat! Someone I can just be myself with! Like [smug villager] and [jock villager]! That's exactly what I need! Ha ha! I can't imagine the two of them jogging together, though!",jock
"Recently I've been thinking about the best way to talk to [female villager]. We'll say hi to each other now and then, but I can never say anything to get the conversation going. Hmm... Maybe I'll ask her to try skiing with me!",jock
"Ugh... I just bit it back there! But all this gravel stuck to my leg feels right! Nothing says ""man"" like a gravel-covered knee, [catchphrase]!",jock
"What? You want me for some new sports league too? Man, I'm totally in demand! The other day this guy comes by wanting me to sign up for his new muay Thai venture. I was like, 'Sorry, bro! I'm totally booked up right now!' I gotta tell ya, [player], it felt kinda bad to break his heart like that...",jock
"Whoa?! [Player]?! Does your face hurt? 'Cause it's killin' me! Bwahahahahaha! Just kidding, bro. But that's a serious makeover you've got going on there! Oh, I get it. You got stung by bees, didn't you? We gotta work on those reflexes, bro! [Catchphrase]!",jock
"Whoa?! [Player]?! Does your face hurt? 'Cause it's killin' me! Bwahahahahaha! Just kidding, bro. But that's a serious makeover you've got going on there! Oh, I get it. You got stung by bees, didn't you? We gotta work on those reflexes, bro! [Catchphrase]!",jock
"So let's see... If [player] were a soccer player, what position would they play?",jock
"Hmm... I can see it... The aura that flows around you, [player]! It says 'clothing'!",jock
"What's the matter? Tuckered toe muscles got you down? We're almost there, so suck it up!",jock
"When was the last time you came over to my place? Hmm... I don't really remember, but I'm sure it was fun! [Catchphrase]!",jock
"You want me to lead that way? No can do, ladybro! You need me in back to monitor those calf muscles, [catchphrase]!",jock
"Looks like you worked up a good sweat getting over here. Gotta stay hydrated on those jogs, ladybro!",jock
"My place is pretty cool, huh?",jock
"My house looks pretty cool, don't you think? If you're really into the [Own name] style, you have my permission to copy whatever you want!",jock
That citrus aroma you're smelling is the smell of youthful ambition! But some people say my place just smells like a gym. Ha ha!,jock
"Like my [TV name]? One of my favorite sports show is on right now, I think...",jock
"Hey! [Player]! Stop pushing me! What's gotten into you?! If you want to challenge me, do it the right way - with an official letter of intent. Sheesh!",jock
Don't push me! What is with you? You practicing to be a sumo wrestler or something?!,jock
"Whoa! Why are you pushing me?! You've got a lot of nerve! What are you thinking, [player]?!",jock
"Oh, whoa! Who set up in this little trap?",jock
"Wh-What's going on?! My butt is stuck, and I can't get out!",jock
"Hey, punk! Why'd you hit me?",jock
"Ouch! What gives, [player]?! If you wanna fight, bring it on!",jock
"Ooooooh, barbells... That was a good solid hit. You got me good...",jock
"It's go time for me today! I'm always at full speed, no matter what the weather is like!",jock
"Heh heh! I hope tomorrow is clear, too! I just want today's weather to hold the way it is! [Catchphrase]!",jock
Yeeeeahhh! Festivale only comes around once a year! Let's whoop it up and get this little town hopping!,jock
This year's Festivale is ending too soon. I'm already missing it!,jock
"When I look up, sometimes I see floating feathers. If you're collecting feathers, I've got a secret for you... But I think I'll tell you later.",jock
"Just leave me alone already, [catchphrase]!",jock
"Man, come on... I got to get over this...",jock
"I may have strong biceps but it doesn't mean I'll never get hurt inside, even I get sad once in a while!",jock
"[Villager 1] and [Villager 2] seem to have such a formal relationship. To really get to know someone, sometimes you have to go toe-to-toe in an argument.",jock
"How goes it, [player]! If I may be so bold, you're looking as cool as a fair number of cucumbers.",smug
"Hi. Seems quiet today, huh? Like, too quiet. [Catchphrase].",smug
"You again, [player]? Well, that makes this a good day! A great day even! [Catchphrase]!",smug
"Hi. Nothing like a chat with [Name] to brighten your day, yeah?",smug
Hi. I knew you couldn't stay away! I can't blame you! [Catchphrase]!,smug
"Whoa. You again? We're meeting a lot today, [catchphrase].",smug
"At times like this, you should plan your own fun event, [player]! For example... 'An interview with [Own name]"" or '[Own name] invites himself to your house'... Oh, but, uh... Please don't plan anything like 'Wake-up prank on [Own name]'! I hate that event!",smug
"Hey, hello, [player]! You're always welcome in the House of [Name].",smug
"...How much have I spent on this room? [Catchphrase]? Why would you ask me something like that, [player]?",smug
Heh heh heh. What do you think of my place? I hope you like it...,smug
"How do I look? I tried to look sharp in my clothes today... Maybe I'm being too adventurous, but then again maybe I'm NOT, [catchphrase]. I'll try to tell myself that clothes ALWAYS feel strange the first time you wear them.",smug
"What? You...had that hairstyle the last time I saw you... It's good you have your own style there. You should stick to it as long as you want, [catchphrase]!",smug
"Er, I know you just want to snuggle, but I'm not a stuffed animal or something, [player]...",smug
"H-hang on, [player]! You're too close right now! People are gonna think we're having a fight!",smug
W-wait. Stop shoving me all around! I'm not a shopping cart!,smug
I don't know who did this...but I would really appreciate some help right now!,smug
"Someone, please help me out!",smug
HEY! Nobody told me about this!,smug
"Hey, that's not cool, [player]! I will suffer your slings and arrows no more, [catchphrase]!",smug
"Why are you hitting me?! I'm not a stone, you know... I have feelings!",smug
"You know, [player]? I'm so over my [shirt] now. I thought my image would be improved, but that's not how things work. Nope, didn't work at all. I'm just the same old me. Ugh, how awful. But... maybe you'd like my item? I'd sell this 'image modification device' at a modest discount. How about [number] Bells?",smug
"Hey, [player], here's a little something I thought you'd like. I really struggled who to give my [furniture] to, but I realized YOU were the one.",smug
"Hey, [player], didn't you tell me you want to get your hands on a [clothing]?",smug
"Hey, lucky you, [player]! I'm feeling, well, megagenerous today, [player]!",smug
"[Player], do you collect anything as a hobby, like stamps or toys or baseball cards, or video games?",smug
"[Player], do you by any chance know the definition of 'SF' in SF movies or SF comics?",smug
......,smug
"Ah, great timing, [Player]! You're always so good about appearing when I need you! If you're going to [Villager]'s place today, could you deliver something important for me? The other day, [Villager] somehow forgot something at my house, and I want to give it back, [catchphrase].",smug
"[Player], can I ask you something? Actually, it's really more of a favor for [Villager], as they asked me to buy something while I was shopping. Could you deliver it under secrecy? You know, we have to think about [Villager]'s privacy, after all.",smug
"[Player]! Perfect timing! If you seen [Villager] today, could you bring it over? It's the thing I borrowed the other day, but I don't need anymore.",smug
"I understand, [player]! I was wrong... I'll do it myself, without relying on anyone.",smug
"Fine, I'll just hand it over myself. Heh heh heh... I never imagined you would give me a supportive push.",smug
"OK, you're right. I'm the one who found it, so I should return it. I'll deliver it myself after all.",smug
"You're right. I borrowed it, so I need to be the one to return it... Alright, [player], I'll deliver it myself!",smug
I clean my room quite often just in case this exact situation comes up!,smug
I never thought you'd ever want to come and visit me again!,smug
"Before we get there, I'd like to ask you one thing: please don't be too jealous of my room's décor, OK?",smug
Welcome to the house of [Own name]! Heh! That's me!,smug
"Heh heh heh... Don't be so nervous. Just relax, [player]!",smug
I have this habit of sprucing up my room with my favorite clothes... So basically you could say that the [clothing] is the best piece of clothing I own!,smug
Could you just leave me alone for now? I'm having a moment of melancholy...,smug
Haa... huh? Right now I feel that my heart is broken and will never be fixed again...,smug
"I don't feel like I can trust anyone right now, so I need to be alone...",smug
"I'm sorry, [player]! You might want to not talk to me right now! I'm a burning ball of red hot rage!",smug
"I think you should really go away! I'm so mad, I might just end up pulling trees out by hand! RAWR!",smug
I wonder why I'm so mad! I can't suppress my feelings!,smug
"I think it's (Female villager)... No, maybe (Female villager)... Actually, it might be (Female villager)... ...Whoa! Heeeyy! Uhh, I'm, uhhh, kinda busy right now! Incidentally, some friendly advice: when you send flowers to a girl, remember which one it was...",smug
"I should probably give (Female villager) some (Flower)... Or maybe a (Town Fruit)... ...Waah! Hi there! Startled me! Sorry, but I'm thinking about something right now, (Catchphrase).",smug
"Guess what I saw! [Male villager] and [female villager] spending time together! They were sitting and drinking grape soda with one another... This must mean that their friendship is in good shape, [catchphrase].",smug
"Oh boy. Rumors are scary, don't you think? Apparently, [villager] and I are... Well, if I understand it right, people think we're cousins somehow, [catchphrase]. Huh? Are we? Well... I don't know. I've gotta protect [villager]'s privacy, so I can't tell you anything else about this!",smug
"Oh boy. Rumors are scary, don't you think? Apparently, [villager] and I are... Well, rumor has it we're going to buy a car together or something like that, [catchphrase]. Huh? Are we actually going to? Well...I don't know. Don't ask me about it. I have no future comment!",smug
"Hello again! Need something, [player]?",snooty
"Hello, [player]! You have something else to talk about today? So what did you want, [player]?",snooty
"Can I help you, [player]?",snooty
"Can I do something else for you, [player], [catchphrase]?",snooty
"Well, hello again. Aren't you busy, [player]! So, what did you want, [player]?",snooty
"What can I do for you, [player], [catchphrase]?",snooty
"What, you again, [player]? How many times has it BEEN today, [catchphrase]?",snooty
"Hello again, [player]. I'm always glad to talk with you. Even this much, [catchphrase]. So what did you want, [player]?",snooty
"[Catchphrase], you look like a rock star... or a celebrity... Or someone who's really good at thrift-store shopping!",snooty
"I can't believe I had to put on sunscreen today. Wait, I wear sunscreen every day. Ignore me.",snooty
"I don't know if you believe in luck, [player], but I sure do. There are certain items I just KNOW are lucky. I have one I carry around all the time. It just so happens my lucky object goes really well with most of my outfits. What a coincidence! So if you find yourself in need for a lucky break or two, think about picking up a lucky charm. I'd recomment one that matches your eye color.",snooty
"Have you ever seen an aurora, [player]? It's magical...and we may get one tonight! So keep your eyes open, and count your lucky stars if we do see one...",snooty
"You know what? I can't think of a single event coming up soon. I guess that means I'll finally have time to catch up on my weeding. And my shell collection could use a little work. Some pretty ones have been washing up recently. Come to think of it, I don't have any time for events! [Catchphrase]!",snooty
"[Other player] is a friend of yours, right? I've always thought of [other player] as a [reputation]. [Catchphrase], maybe it's just my imagination. But I'd like to get to know [other player] a little better.",snooty
"Wait. Is [other player] actually living in a...what's it called...tent? [Catchphrase]! I have sort of a policy about the kinds of places I'll stay... No air-conditioning, no gourmet kitchen...no [Villager].",snooty
I always see [Villager 1] and [Villager 2] out practicing volleyball together. It must be nice to have a close friend who's into the same things are you are...,snooty
"I've been wondering, [player]: Are you really good at [sport]?",snooty
"I hope you don't slurp when you eat spaghetti, [player]. Urgh! It just drives me up the wall!",snooty
"You know, every time I eat [food], I think of my childhood. Nobody makes it like my mom! Are there any foods that make you nostalgic, [player]?",snooty
"Player is prompted to choose between two options: ""Of course!"" and ""No, not really.",snooty
"Really? You won't trade? Well, I guess I'll have to get with the trend some other way.",snooty
Hey! Watch where you're going!,snooty
Hey! Have you ever heard of a thing called 'personal space'?,snooty
"Not very graceful, aren't we, [player]? Watch it!",snooty
[Player]! I thought you had better manners than this.,snooty
"Ahh, you scared me, [player].",snooty
Whoa! Message received loud and clear...on the moon. You don't need to shout so loudly!,snooty
"Wow, I can barely hear you. Can you TRY TALKING LOUDER? [Catchphrase]...",snooty
"Hey, [player]...I appreciate your concern, but I'll get through this on my own. [Catchphrase]...",snooty
"If you're trying to cheer me up, it's not working. I just need a little bit of alone time.",snooty
I just don't know what to do...,snooty
"It's called personal space - have you heard of it? Sorry, [player]. This isn't my finest hour.",snooty
"How can I put this nicely... Let's see...BUZZ OFF! Sorry, [player]. I'm having a bad day.",snooty
"I must have got up on the wrong side this morning, because I am just NOT in the mood to deal...",snooty
The rage... it burns. GRR!,snooty
That's it! I've had it!,snooty
"[Player], don't even talk to me right now. I'm so mad, I can't see straight.",snooty
"I hate to do this to you, [player], but could you come back and talk to me later? I just remembered something really important I need to take care of right now!",snooty
"Are you trying to start some sort of rivalry with me, [player]? I warn you: this is a game you will lose.",snooty
Hey! I hope you're just clumsy and not straight-up mean. It's not nice to plonk someone like that.,snooty
"Hey! Bonk me with that thing again, [player], and I'll show you how to actually use it!",snooty
Where did you learn your manners - in a boxing ring? Try having more class!,snooty
"Whoa, excuse YOU! Just what do you think you're doing?",snooty
"At present, I can assist you with the following tasks:",isabelle
You...you can't be serious!,isabelle
"I mean, rebuild the town? That means [town] will be TOTALLY gone. Is that what you really want?",isabelle
All the Bells you've earned... All your furniture... It will all be lost.,isabelle
And those who live in this town? ALL GONE!,isabelle
"Are you sure about this? This is absolutely, positively what you really, really want?",isabelle
Understood. If you feel that strongly about it...,isabelle
It's done. I hope we meet again someday...somewhere!,isabelle
"[Greeting, Mayor [Name]/[Name]! In [town], it's [Day of the week], [month] [ordinal number], [year], and the time is [specific time]. Well then, shall we get started?",isabelle
"[At present, I can assist you with the following tasks.]",isabelle
"Okay, is that all? We'll just - wait, WHAT? Are you sure you really want to destroy your own house, [Name]? If we did that, you'd lose all your records. Everything would be gone! Do you really want to do this?",isabelle
Wonderful! Let me get you set up.,isabelle
"All right, all set!",isabelle
"Oh, but there is a... slight problem. Last time you left without saving your game. So some of what you did last time may be gone. I'm very sorry. Please remember to save whenever you leave the game, OK?",isabelle
"At present, I can assist you with the following tasks:",isabelle
Oh my! Has my clock gone out of whack? Then please tell me what the correct time it is!,isabelle
"So that's [specific time] on [month] [ordinal number], [year]. Correct?",isabelle
"What?! Sorry, but my ears are just too fluffy and muffly, I guess. Please tell me once more.",isabelle
"So that's [specific time] on [month] [ordinal number], [year]. Correct?",isabelle
OK! That should do it! The time should now be correct.,isabelle
Wonderful. Let me get you set up.,isabelle
"OK, all set! Oh, that's right! Um, (Mayor [Name]/[Name])?",isabelle
"Someone new has moved into town today! Why don't you drop by and have a chat, (Mayor [Name]/[Name])?",isabelle
Wonderful. Let me get you set up.,isabelle
"OK, all set! Oh, that's right! Um, (Mayor [Name]/[Name])?",isabelle
"One of our residents, [villager], is leaving tomorrow. It's a little sad, isn't it?",isabelle
Hello! Welcome to ____ town hall service center! Is there something you'd like to inquire about?,isabelle
Hello! Welcome to [town] town hall service center! Is there something you'd like to inquire about?,isabelle
"You want to know how satisfied the citizens of [town] are? Here in [town], we believe that the citizens deserve to be heard. That's why we've established a committee to gauge the needs of the population! So, without further ado, here are the results of the latest survey...",isabelle
Hello! Welcome to [town] town hall service center! Is there something you'd like to inquire about?,isabelle
You'd like to submit a new design for the [town] flag? Great! Please show me the design!,isabelle
Wow! It's perfect! It really captures the spirit of [town]! We'll use this design as our new town flag. Thank you for your excellent submission!,isabelle
Hello! Welcome to [town] town hall service center! Is there something you'd like to inquire about?,isabelle
Phew! That's a relief. I don't like confrontation...,isabelle
Which citizen seems to be causing the trouble?,isabelle
What don't you like about [villager]?,isabelle
"Oh my... so [Villager] hasn't been speaking politely lately? Do you want me to ask [citizen] to stop this behavior? I have the authority to do that, you know.",isabelle
"Oh my... So [villager] hasn't been dressing very nicely lately? Do you want me to ask [villager] to stop this behavior? I have the authority to do that, you know.",isabelle
"Oh my... so [villager] is carrying around a bad letter? Do you want me to ask [villager] to stop this behavior? I have the authority to do that, you know.",isabelle
It's just a game. Waaah!,resetti
